X,Y,Z,rho,p,T,U,V,W
-3.619970000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999910000000000E-001, 9.999980000000001E-001, 5.000010000000000E+000,-3.391180000000000E-007, 5.450700000000000E-004
-3.238920000000000E-002, 1.905000000000000E-003, 1.247240000000000E-019, 1.400000000000000E+000, 9.999970000000000E-001, 9.999990000000000E-001, 5.000010000000000E+000, 2.777570000000000E-008,-2.443680000000000E-004
-2.857870000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000010000000000E+000,-3.472120000000000E-007,-6.232160000000000E-005
-2.476830000000000E-002, 1.905000000000000E-003, 1.247240000000000E-019, 1.400000000000000E+000, 9.999990000000000E-001, 1.000000000000000E+000, 4.999980000000000E+000, 8.134610000000000E-008, 2.576560000000000E-004
-2.095780000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.399990000000000E+000, 9.999900000000000E-001, 9.999970000000000E-001, 5.000010000000000E+000, 6.092710000000000E-007,-5.415590000000000E-005
-1.714720000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999930000000000E-001, 9.999980000000001E-001, 5.000020000000000E+000, 9.185970000000000E-007, 6.284319999999999E-005
-1.333670000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 3.766860000000000E-007, 2.751230000000000E-004
-9.526250000000000E-003, 1.905000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000020000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-5.448180000000000E-008, 1.016030000000000E-004
-5.715750000000000E-003, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999950000000000E-001, 9.999990000000000E-001, 4.999960000000000E+000,-6.131470000000000E-007,-1.597730000000000E-004
-1.905250000000000E-003, 1.905000000000000E-003, 0.000000000000000E+000, 1.399980000000000E+000, 9.999749999999999E-001, 9.999930000000000E-001, 5.000000000000000E+000,-1.870300000000000E-006,-5.550430000000000E-004
-1.505150000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-5.753160000000000E-008, 2.380890000000000E-004
-1.467040000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.005870000000000E-006, 1.789370000000000E-004
-1.428940000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999970000000000E-001, 9.999990000000000E-001, 4.999990000000000E+000,-6.303190000000000E-007, 1.164050000000000E-004
