rho,p,T,U,V,W
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.597000000000000E-007,-4.663750000000000E-018
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.280890000000000E-007,-1.204250000000000E-016
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.040220000000000E-007, 1.749630000000000E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 3.871160000000000E-007, 1.534210000000000E-015
 1.224800000000000E+000, 3.516470000000000E+004, 1.000010000000000E+002, 1.002350000000000E+003,-5.526770000000000E-006, 3.001220000000000E-015
 1.661480000000000E+000, 1.546250000000000E+005, 3.241520000000000E+002, 8.331820000000000E+002, 2.396280000000000E+002,-1.062020000000000E-010
 1.050020000000000E+000, 8.743270000000000E+004, 2.900270000000000E+002, 8.972750000000000E+002, 2.134250000000000E+002,-3.915980000000000E-010
 9.564150000000000E-001, 7.375889999999999E+004, 2.686160000000000E+002, 9.633450000000000E+002, 1.555990000000000E+002,-1.940840000000000E-009
 9.844600000000000E-001, 7.044760000000001E+004, 2.492480000000000E+002, 9.842150000000000E+002, 1.264950000000000E+002,-2.101580000000000E-009
 1.024340000000000E+000, 6.636210000000001E+004, 2.256520000000000E+002, 1.000160000000000E+003, 1.095610000000000E+002,-2.012570000000000E-009
 1.098950000000000E+000, 6.324950000000000E+004, 2.004680000000000E+002, 1.013860000000000E+003, 1.028520000000000E+002,-1.678110000000000E-009
 1.268720000000000E+000, 6.414660000000000E+004, 1.761050000000000E+002, 1.019040000000000E+003, 1.149170000000000E+002,-1.147310000000000E-009
 1.553380000000000E+000, 6.879620000000000E+004, 1.542590000000000E+002, 1.019640000000000E+003, 1.293360000000000E+002,-5.661990000000000E-010
