X,Y,Z,rho,p,T,U,V,W
 2.914610000000000E-001, 8.831340000000000E-002, 0.000000000000000E+000, 3.828450000000000E+000, 4.802050000000000E+000, 1.756040000000000E+000, 4.460620000000000E+000, 1.197400000000000E+000, 0.000000000000000E+000
 2.952710000000000E-001, 8.919390000000001E-002, 0.000000000000000E+000, 3.828330000000000E+000, 4.799050000000000E+000, 1.755000000000000E+000, 4.459660000000000E+000, 1.197840000000000E+000, 0.000000000000000E+000
 2.990810000000000E-001, 9.007440000000000E-002, 1.372730000000000E-019, 3.828360000000000E+000, 4.796480000000000E+000, 1.754040000000000E+000, 4.458800000000000E+000, 1.198720000000000E+000, 0.000000000000000E+000
 3.028900000000000E-001, 9.095490000000001E-002, 1.208510000000000E-020, 3.828400000000000E+000, 4.791890000000000E+000, 1.752340000000000E+000, 4.459060000000000E+000, 1.199790000000000E+000, 0.000000000000000E+000
 1.902870000000000E-003, 2.519200000000000E-002, 1.311800000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 6.740280000000000E-014, 0.000000000000000E+000
 5.712850000000000E-003, 2.604700000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 6.212960000000001E-014, 0.000000000000000E+000
 9.522839999999999E-003, 2.690200000000000E-002, 2.656060000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 4.794390000000000E-014, 0.000000000000000E+000
 1.333280000000000E-002, 2.775700000000000E-002,-1.215660000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.575060000000000E-014, 0.000000000000000E+000
 1.714280000000000E-002, 2.861200000000000E-002, 2.568770000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-4.023130000000000E-014, 0.000000000000000E+000
 2.095280000000000E-002, 2.946700000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-6.582439999999999E-014, 0.000000000000000E+000
 2.476280000000000E-002, 3.032200000000000E-002, 1.361860000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-4.303990000000000E-014, 0.000000000000000E+000
 2.857280000000000E-002, 3.117690000000000E-002,-2.620570000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-8.765230000000000E-014, 0.000000000000000E+000
 3.238270000000000E-002, 3.203190000000000E-002, 1.258840000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-9.627970000000000E-014, 0.000000000000000E+000
 3.619270000000000E-002, 3.288690000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-6.773660000000000E-014, 0.000000000000000E+000
 4.000270000000000E-002, 3.374190000000000E-002,-4.072250000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 6.176150000000000E-015, 0.000000000000000E+000
 4.381270000000000E-002, 3.459690000000000E-002,-2.813810000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-6.304430000000000E-014, 0.000000000000000E+000
 4.762270000000000E-002, 3.545190000000000E-002,-1.206630000000000E-020, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.041240000000000E-013, 0.000000000000000E+000
 5.143270000000000E-002, 3.630690000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.218650000000000E-013, 0.000000000000000E+000
 5.524260000000000E-002, 3.716190000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.793690000000000E-013, 0.000000000000000E+000
 5.905260000000000E-002, 3.801680000000000E-002, 1.324700000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.250920000000000E-013, 0.000000000000000E+000
 6.286260000000000E-002, 3.887180000000000E-002,-1.334680000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.109170000000000E-010, 0.000000000000000E+000
 6.667260000000000E-002, 3.972680000000000E-002,-1.465480000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.385780000000000E-010, 0.000000000000000E+000
 7.048260000000001E-002, 4.058180000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 7.966150000000000E-012, 0.000000000000000E+000
 7.429260000000000E-002, 4.143680000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 9.091849999999999E-008, 0.000000000000000E+000
 7.810250000000001E-002, 4.229180000000000E-002, 1.206750000000000E-020, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 3.764820000000000E-008, 0.000000000000000E+000
 8.191250000000000E-002, 4.314680000000000E-002, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 2.308030000000000E-008, 0.000000000000000E+000
 8.572249999999999E-002, 4.400180000000000E-002, 0.000000000000000E+000, 1.399710000000000E+000, 9.996370000000000E-001, 9.998460000000000E-001, 5.000100000000000E+000,-2.382370000000000E-004, 0.000000000000000E+000
 8.953250000000000E-002, 4.485680000000000E-002,-2.234120000000000E-019, 1.401220000000000E+000, 1.001490000000000E+000, 1.000620000000000E+000, 4.999520000000000E+000, 7.412980000000000E-004, 0.000000000000000E+000
 9.334249999999999E-002, 4.571170000000000E-002, 0.000000000000000E+000, 1.420780000000000E+000, 1.026500000000000E+000, 1.011490000000000E+000, 4.991960000000000E+000, 1.742810000000000E-002, 0.000000000000000E+000
 9.715240000000000E-002, 4.656670000000000E-002, 3.104810000000000E-019, 1.517280000000000E+000, 1.154020000000000E+000, 1.064820000000000E+000, 4.961640000000000E+000, 7.515560000000000E-002, 0.000000000000000E+000
 1.009620000000000E-001, 4.742170000000000E-002, 0.000000000000000E+000, 1.835780000000000E+000, 1.607480000000000E+000, 1.225900000000000E+000, 4.838070000000000E+000, 3.444000000000000E-001, 0.000000000000000E+000
 1.047720000000000E-001, 4.827670000000000E-002, 0.000000000000000E+000, 2.220060000000000E+000, 2.174610000000000E+000, 1.371340000000000E+000, 4.793010000000000E+000, 4.728790000000000E-001, 0.000000000000000E+000
 1.085820000000000E-001, 4.913170000000000E-002, 3.909590000000000E-019, 2.744400000000000E+000, 2.979960000000000E+000, 1.520170000000000E+000, 4.707200000000000E+000, 7.170090000000000E-001, 0.000000000000000E+000
 1.123920000000000E-001, 4.998670000000000E-002, 0.000000000000000E+000, 3.149780000000000E+000, 3.649820000000000E+000, 1.622260000000000E+000, 4.516690000000000E+000, 1.121750000000000E+000, 0.000000000000000E+000
 1.162020000000000E-001, 5.084170000000000E-002, 0.000000000000000E+000, 3.497500000000000E+000, 4.264470000000000E+000, 1.707010000000000E+000, 4.530030000000000E+000, 1.063400000000000E+000, 0.000000000000000E+000
 1.200120000000000E-001, 5.169670000000000E-002,-8.730230000000000E-020, 3.785550000000000E+000, 4.808650000000000E+000, 1.778380000000000E+000, 4.527100000000000E+000, 1.103910000000000E+000, 0.000000000000000E+000
